V1,V2,V3,V4,V5,V6,V7,V8
"""2""","""48813511""","""59""","""32""","""16""","""4""","""1""","""3"""
"""3""","""26413889""","""54""","""NA""","""15""","""4""","""2""","""1"""
"""4""","""51281512""","""43""","""34""","""16""","""6""","""2""","""2"""
"""5""","""6613469""","""70""","""NA""","""12""","""5""","""2""","""3"""
"""6""","""27591674""","""NA""","""NA""","""23""","""4""","""2""","""3"""
"""7""","""10172556""","""22""","""37""","""19""","""3""","""2""","""3"""
"""8""","""32054469""","""34""","""41""","""16""","""7""","""2""","""3"""
"""9""","""24966678""","""51""","""41""","""22""","""6""","""2""","""2"""
"""10""","""2349408""","""30""","""40""","""17""","""1""","""2""","""1"""
"""11""","""22954746""","""35""","""39""","""18""","""5""","""2""","""2"""
"""12""","""8046678""","""47""","""41""","""16""","""1""","""2""","""1"""
"""14""","""17287116""","""65""","""33""","""9""","""2""","""2""","""1"""
"""15""","""34476469""","""46""","""38""","""19""","""3""","""1""","""3"""
"""16""","""21339267""","""48""","""36""","""15""","""3""","""1""","""1"""
"""17""","""49342820""","""51""","""37""","""21""","""5""","""NA""","""3"""
"""18""","""27422678""","""57""","""38""","""20""","""1""","""2""","""3"""
"""19""","""15257704""","""32""","""43""","""23""","""6""","""2""","""3"""
"""20""","""53989838""","""49""","""40""","""25""","""3""","""2""","""5"""
"""21""","""64347136""","""30""","""32""","""23""","""4""","""2""","""5"""
"""22""","""43846469""","""60""","""32""","""15""","""5""","""2""","""2"""
"""23""","""13859074""","""NA""","""42""","""25""","""NA""","""NA""","""2"""
"""24""","""43640704""","""42""","""39""","""27""","""7""","""2""","""3"""
"""25""","""12539468""","""45""","""43""","""15""","""6""","""2""","""NA"""
"""26""","""30654678""","""NA""","""35""","""15""","""2""","""2""","""2"""
"""27""","""74352297""","""54""","""40""","""20""","""7""","""2""","""5"""
"""28""","""54480801""","""49""","""34""","""20""","""5""","""1""","""3"""
"""29""","""5577469""","""72""","""41""","""18""","""6""","""2""","""2"""
"""30""","""46740011""","""49""","""35""","""17""","""2""","""2""","""3"""
"""31""","""5991616""","""37""","""40""","""17""","""2""","""1""","""1"""
"""32""","""27790469""","""56""","""41""","""25""","""5""","""2""","""3"""
"""33""","""40676049""","""33""","""31""","""22""","""3""","""2""","""3"""
"""34""","""35079297""","""54""","""42""","""21""","""NA""","""1""","""5"""
"""35""","""3031468""","""NA""","""43""","""17""","""5""","""2""","""1"""
"""36""","""28331963""","""32""","""33""","""21""","""4""","""2""","""2"""
"""37""","""5318148""","""74""","""43""","""27""","""3""","""1""","""5"""
"""38""","""74812889""","""66""","""36""","""16""","""4""","""2""","""6"""
"""39""","""36474889""","""44""","""37""","""20""","""5""","""2""","""2"""
"""40""","""5075008""","""58""","""42""","""22""","""3""","""2""","""1"""
"""41""","""38709136""","""NA""","""38""","""18""","""5""","""2""","""3"""
"""42""","""16425008""","""38""","""42""","""18""","""3""","""1""","""3"""
"""43""","""26231469""","""36""","""41""","""20""","""5""","""2""","""3"""
"""44""","""654301""","""75""","""43""","""20""","""1""","""2""","""2"""
"""45""","""25027785""","""48""","""42""","""23""","""4""","""2""","""3"""
"""46""","""48225309""","""43""","""36""","""12""","""4""","""1""","""3"""
"""47""","""49506860""","""48""","""39""","""22""","""7""","""2""","""3"""
"""48""","""19111469""","""46""","""38""","""17""","""3""","""2""","""NA"""
"""49""","""59795852""","""50""","""33""","""NA""","""5""","""1""","""3"""
"""50""","""34489519""","""34""","""40""","""23""","""1""","""2""","""5"""
